month,no_of_rainy_days,mean_rh,resp_cases
2012-01,16,87.3,13307
2012-02,11,85.6,15555
2012-03,21,87.3,10997
2012-04,20,85.1,12111
2012-05,19,83.1,15058
2012-06,8,79.0,9897
2012-07,17,81.1,11928
2012-08,12,79.8,13689
2012-09,10,79.7,10058
2012-10,13,81.3,13281
2012-11,22,85.4,10205
2012-12,22,87.0,10594
2013-01,15,82.1,12465
2013-02,22,86.9,14363
2013-03,10,80.4,9704
2013-04,19,82.7,10282
2013-05,17,83.1,13579
2013-06,12,74.6,9932
2013-07,15,79.9,9705
2013-08,15,79.0,12547
2013-09,19,81.3,9026
2013-10,19,79.9,11715
2013-11,22,84.6,10451
2013-12,21,85.8,10098
2014-01,5,78.5,11983
2014-02,1,74.5,14401
2014-03,6,76.0,9167
2014-04,17,80.0,9262
2014-05,18,80.2,13156
2014-06,11,77.5,9634
2014-07,15,78.3,10559
2014-08,20,79.7,13251
2014-09,9,75.6,9143
2014-10,10,77.0,9884
2014-11,23,82.4,8652
2014-12,17,82.6,9134
2015-01,6,77.6,11696
2015-02,6,75.4,14298
2015-03,5,75.8,9543
2015-04,13,77.1,10014
2015-05,12,78.9,14312
2015-06,10,75.8,10238
2015-07,13,74.9,9522
2015-08,11,76.7,13213
2015-09,8,75.0,10768
2015-10,9,75.4,12881
2015-11,13,79.1,10337
2015-12,19,81.1,9531
2016-01,15,79.6,11436
2016-02,10,78.8,16188
2016-03,6,74.7,10210
2016-04,14,75.6,9807
2016-05,12,77.4,13625
2016-06,13,77.7,10925
2016-07,20,77.3,12922
2016-08,15,74.0,14826
2016-09,15,73.9,9770
2016-10,16,72.0,12069
2016-11,20,77.6,10458
2016-12,23,72.8,9555
2017-01,21,84.8,11647
2017-02,15,83.2,16190
2017-03,11,82.5,11565
2017-04,21,83.5,12578
2017-05,15,82.8,17278
2017-06,10,80.2,10485
2017-07,9,79.6,12513
2017-08,18,79.9,13816
2017-09,19,81.0,10218
2017-10,18,82.5,14773
2017-11,24,86.3,11547
2017-12,23,85.2,10953
2018-01,25,86.6,15466
2018-02,5,77.2,18541
2018-03,10,78.4,11309
2018-04,14,78.5,11955
2018-05,19,79.0,15567
2018-06,17,79.3,10688
2018-07,10,77.7,12792
2018-08,11,77.0,14104
2018-09,13,77.1,10927
2018-10,18,79.7,14182
2018-11,27,83.2,13274
2018-12,19,81.5,12129
2019-01,9,75.6,13568
2019-02,5,74.1,16306
2019-03,6,72.3,11108
2019-04,9,77.6,11662
2019-05,13,79.2,15695
2019-06,16,79.5,11402
2019-07,8,75.2,13040
2019-08,6,72.1,13864
2019-09,4,73.0,9963
2019-10,15,78.1,14614
2019-11,15,79.2,12338
2019-12,14,83.9,12779
2020-01,6,77.9,14946
2020-02,8,76.0,16968
2020-03,8,75.2,9575
2020-04,12,76.4,5579
2020-05,16,79.1,2954
2020-06,21,80.2,2744
2020-07,22,78.2,3102
2020-08,12,76.8,3687
2020-09,18,79.0,3851
2020-10,16,75.4,4561
2020-11,19,81.7,3158
2020-12,20,81.1,3180
