month,no_of_rainy_days,mean_rh
2012-01,16,87.3
2012-02,11,85.6
2012-03,21,87.3
2012-04,20,85.1
2012-05,19,83.1
2012-06,8,79.0
2012-07,17,81.1
2012-08,12,79.8
2012-09,10,79.7
2012-10,13,81.3
2012-11,22,85.4
2012-12,22,87.0
2013-01,15,82.1
2013-02,22,86.9
2013-03,10,80.4
2013-04,19,82.7
2013-05,17,83.1
2013-06,12,74.6
2013-07,15,79.9
2013-08,15,79.0
2013-09,19,81.3
2013-10,19,79.9
2013-11,22,84.6
2013-12,21,85.8
2014-01,5,78.5
2014-02,1,74.5
2014-03,6,76.0
2014-04,17,80.0
2014-05,18,80.2
2014-06,11,77.5
2014-07,15,78.3
2014-08,20,79.7
2014-09,9,75.6
2014-10,10,77.0
2014-11,23,82.4
2014-12,17,82.6
2015-01,6,77.6
2015-02,6,75.4
2015-03,5,75.8
2015-04,13,77.1
2015-05,12,78.9
2015-06,10,75.8
2015-07,13,74.9
2015-08,11,76.7
2015-09,8,75.0
2015-10,9,75.4
2015-11,13,79.1
2015-12,19,81.1
2016-01,15,79.6
2016-02,10,78.8
2016-03,6,74.7
2016-04,14,75.6
2016-05,12,77.4
2016-06,13,77.7
2016-07,20,77.3
2016-08,15,74.0
2016-09,15,73.9
2016-10,16,72.0
2016-11,20,77.6
2016-12,23,72.8
2017-01,21,84.8
2017-02,15,83.2
2017-03,11,82.5
2017-04,21,83.5
2017-05,15,82.8
2017-06,10,80.2
2017-07,9,79.6
2017-08,18,79.9
2017-09,19,81.0
2017-10,18,82.5
2017-11,24,86.3
2017-12,23,85.2
2018-01,25,86.6
2018-02,5,77.2
2018-03,10,78.4
2018-04,14,78.5
2018-05,19,79.0
2018-06,17,79.3
2018-07,10,77.7
2018-08,11,77.0
2018-09,13,77.1
2018-10,18,79.7
2018-11,27,83.2
2018-12,19,81.5
2019-01,9,75.6
2019-02,5,74.1
2019-03,6,72.3
2019-04,9,77.6
2019-05,13,79.2
2019-06,16,79.5
2019-07,8,75.2
2019-08,6,72.1
2019-09,4,73.0
2019-10,15,78.1
2019-11,15,79.2
2019-12,14,83.9
2020-01,6,77.9
2020-02,8,76.0
2020-03,8,75.2
2020-04,12,76.4
2020-05,16,79.1
2020-06,21,80.2
2020-07,22,78.2
2020-08,12,76.8
2020-09,18,79.0
2020-10,16,75.4
2020-11,19,81.7
2020-12,20,81.1
