year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
13307,12465,11983,11696,11436,11647,15466,13568,14946
15555,14363,14401,14298,16188,16190,18541,16306,16968
10997,9704,9167,9543,10210,11565,11309,11108,9575
12111,10282,9262,10014,9807,12578,11955,11662,5579
15058,13579,13156,14312,13625,17278,15567,15695,2954
9897,9932,9634,10238,10925,10485,10688,11402,2744
11928,9705,10559,9522,12922,12513,12792,13040,3102
13689,12547,13251,13213,14826,13816,14104,13864,3687
10058,9026,9143,10768,9770,10218,10927,9963,3851
13281,11715,9884,12881,12069,14773,14182,14614,4561
10205,10451,8652,10337,10458,11547,13274,12338,3158
10594,10098,9134,9531,9555,10953,12129,12779,3180
